ano;codigo_unidade_orcamentaria;nome_unidade_orcamentaria;codigo_unidade_executora;funcional_programatica;codigo_elemento_despesa;descricao_elemento_despesa;codigo_item_despesa;descricao_item_despesa;codigo_fonte_recurso;descricao_fonte_recurso;numero_empenho;data_empenho;razao_social_credor;cnpj_cpf_credor;data_liquidacao;liquidacao_sequencial;valor_despesa_liquidada;numero_op;data_registro;data_pagamento;valor_pago_financeiro;quebra_sim_nao;justificativa;observacao_script
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;27;COMBUSTIVEIS E LUBRIFICANTES P/ EQUIP. E OUTROS MAT.  PERMANENTES;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;227;28/01/2026;GASMAX DISTRIBUICAO COMERCIO E SERVICOS LTDA -EPP;71.398.697/0001-49;30/01/2026;1;803,63;863;06/03/2026;09/03/2026;803,63;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;27;COMBUSTIVEIS E LUBRIFICANTES P/ EQUIP. E OUTROS MAT.  PERMANENTES;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;227;28/01/2026;GASMAX DISTRIBUICAO COMERCIO E SERVICOS LTDA -EPP;71.398.697/0001-49;25/02/2026;2;587,45;1070;13/03/2026;16/03/2026;587,45;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;27;COMBUSTIVEIS E LUBRIFICANTES P/ EQUIP. E OUTROS MAT.  PERMANENTES;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;227;28/01/2026;GASMAX DISTRIBUICAO COMERCIO E SERVICOS LTDA -EPP;71.398.697/0001-49;25/03/2026;3;469,96;1560;14/04/2026;16/04/2026;469,96;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;27;COMBUSTIVEIS E LUBRIFICANTES P/ EQUIP. E OUTROS MAT.  PERMANENTES;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;227;28/01/2026;GASMAX DISTRIBUICAO COMERCIO E SERVICOS LTDA -EPP;71.398.697/0001-49;23/04/2026;4;469,96;2064;12/05/2026;14/05/2026;469,96;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;27;COMBUSTIVEIS E LUBRIFICANTES P/ EQUIP. E OUTROS MAT.  PERMANENTES;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;227;28/01/2026;GASMAX DISTRIBUICAO COMERCIO E SERVICOS LTDA -EPP;71.398.697/0001-49;09/06/2026;5;587,45;2675;17/06/2026;19/06/2026;587,45;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;8;PRODUTOS ALIMENTICIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1033;26/03/2026;COMERCIAL SO PIMENTA LTDA -ME;13.203.130/0001-73;22/04/2026;1;5160,38;1887;28/04/2026;04/05/2026;5160,38;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;8;PRODUTOS ALIMENTICIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1034;26/03/2026;GUIMARAES COSTA PRODUTO ALIMENTICIO LTDA;09.049.992/0001-16;10/04/2026;1;5792,24;1742;17/04/2026;22/04/2026;5722,73;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;8;PRODUTOS ALIMENTICIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1034;26/03/2026;GUIMARAES COSTA PRODUTO ALIMENTICIO LTDA;09.049.992/0001-16;22/05/2026;2;9438,24;2433;01/06/2026;03/06/2026;9324,98;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;8;PRODUTOS ALIMENTICIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1034;26/03/2026;GUIMARAES COSTA PRODUTO ALIMENTICIO LTDA;09.049.992/0001-16;23/06/2026;3;13311,38;2821;26/06/2026;30/06/2026;13151,64;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;8;PRODUTOS ALIMENTICIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1035;26/03/2026;SACOLAO CENTER SETELAGOANO LTDA -EPP;66.336.322/0001-14;22/04/2026;1;1887,97;1886;28/04/2026;04/05/2026;1887,97;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;8;PRODUTOS ALIMENTICIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1035;26/03/2026;SACOLAO CENTER SETELAGOANO LTDA -EPP;66.336.322/0001-14;23/04/2026;2;7003,23;1888;28/04/2026;04/05/2026;7003,23;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;8;PRODUTOS ALIMENTICIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1035;26/03/2026;SACOLAO CENTER SETELAGOANO LTDA -EPP;66.336.322/0001-14;23/04/2026;3;2159,3;2059;12/05/2026;14/05/2026;2159,3;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;8;PRODUTOS ALIMENTICIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1035;26/03/2026;SACOLAO CENTER SETELAGOANO LTDA -EPP;66.336.322/0001-14;06/05/2026;4;522,41;2186;18/05/2026;20/05/2026;522,41;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;8;PRODUTOS ALIMENTICIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1035;26/03/2026;SACOLAO CENTER SETELAGOANO LTDA -EPP;66.336.322/0001-14;28/05/2026;5;676,45;2610;12/06/2026;17/06/2026;676,45;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;8;PRODUTOS ALIMENTICIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1035;26/03/2026;SACOLAO CENTER SETELAGOANO LTDA -EPP;66.336.322/0001-14;28/05/2026;6;990,71;2592;11/06/2026;17/06/2026;990,71;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;8;PRODUTOS ALIMENTICIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1035;26/03/2026;SACOLAO CENTER SETELAGOANO LTDA -EPP;66.336.322/0001-14;01/06/2026;7;1996,38;2649;12/06/2026;17/06/2026;1996,38;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;8;PRODUTOS ALIMENTICIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1035;26/03/2026;SACOLAO CENTER SETELAGOANO LTDA -EPP;66.336.322/0001-14;01/06/2026;8;2350,32;2652;12/06/2026;17/06/2026;2350,32;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;8;PRODUTOS ALIMENTICIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1035;26/03/2026;SACOLAO CENTER SETELAGOANO LTDA -EPP;66.336.322/0001-14;25/06/2026;9;3074,12;2849;29/06/2026;01/07/2026;3074,12;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;8;PRODUTOS ALIMENTICIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;1043;26/03/2026;DORAMEL LTDA;17.932.562/0001-76;15/04/2026;1;528,3;1741;17/04/2026;20/04/2026;528,3;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;8;PRODUTOS ALIMENTICIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;117;27/01/2026;HIPER TRIGO DISTRIBUIDORA IMPORTADORA E REPRESENTACAO LTDA;40.964.083/0001-53;11/02/2026;1;1192,04;938;09/03/2026;10/03/2026;1177,74;;;
2026;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;1070001;04.122.049.4354.0001;30;MATERIAL DE CONSUMO;8;PRODUTOS ALIMENTICIOS;10;RECURSOS ORDINARIOS - RECURSOS NAO VINCULADOS DE IMPOSTOS;117;27/01/2026;HIPER TRIGO DISTRIBUIDORA IMPORTADORA E REPRESENTACAO LTDA;40.964.083/0001-53;23/03/2026;2;4185,36;1550;13/04/2026;15/04/2026;4135,14;;;
